region,lat,lon,tile_basename,hand_lambda_m,chosen_lambda_m,chosen_crest_az_deg,chosen_prom_frac,chosen_rel_power,within_tol,confidence,pct_diff_from_hand,n_candidates,all_candidates
Chad,13.25,16.0,Chad_lat13p25_lon16p00,2000.0,1909.8,136.2,0.909,0.706,True,high,4.5,18,148@181(p0.22);210@181(p0.17);398@181(p0.28);564@181(p0.34);633@151(p0.23);951@146(p0.30);1200@149(p1.00);1514@176(p0.54);1910@136(p0.91);2273@131(p0.56);2706@181(p1.00);3040@181(p1.00);3414@181(p1.00);3835@181(p1.00);4565@181(p1.00);5434@181(p1.00);6855@181(p1.00);9166@181(p1.00)
Chad,13.25,16.25,Chad_lat13p25_lon16p25,2200.0,2024.0,126.2,0.99,1.0,True,high,8.0,16,236@141(p0.22);265@141(p0.22);422@131(p0.34);474@121(p0.34);564@141(p0.25);633@154(p0.27);799@141(p0.32);1068@136(p0.86);1802@174(p0.22);2024@126(p0.99);3040@131(p0.58);3618@131(p0.94);4307@231(p1.00);5434@91(p1.00);6468@224(p1.00);7700@146(p1.00)
Chad,13.25,16.5,Chad_lat13p25_lon16p50,2000.0,1909.8,146.2,0.314,0.468,True,high,4.5,21,140@191(p0.19);187@191(p0.25);265@191(p0.19);298@191(p0.25);532@191(p0.69);633@191(p0.26);754@109(p0.17);847@191(p0.39);1008@136(p0.19);1132@191(p0.31);1348@191(p1.00);1514@141(p0.21);1910@146(p0.31);2409@191(p0.76);2706@191(p0.52);3040@191(p0.89);3835@196(p1.00);4565@189(p1.00);5434@191(p1.00);6468@194(p1.00);8648@199(p1.00)
Chad,13.25,16.75,Chad_lat13p25_lon16p75,1700.0,1604.3,148.8,0.231,0.712,True,high,5.6,17,265@114(p0.17);315@121(p0.58);422@129(p0.17);474@111(p0.37);633@99(p0.34);711@171(p0.58);1008@106(p1.00);1272@121(p0.35);1604@149(p0.23);2409@129(p0.84);3040@229(p0.39);3414@174(p0.94);4307@199(p0.76);4838@211(p1.00);6103@116(p1.00);6855@256(p1.00);8648@199(p1.00)
Chad,13.25,17.25,Chad_lat13p25_lon17p25,1200.0,1199.9,136.2,0.434,0.441,True,high,0.0,17,210@136(p0.31);315@136(p0.19);354@109(p0.36);502@159(p0.35);633@151(p0.51);711@161(p0.20);799@159(p1.00);1200@136(p0.43);1514@154(p0.36);1700@129(p0.42);2024@154(p0.74);2409@154(p0.84);2868@161(p0.42);4064@154(p0.87);4838@149(p1.00);6468@166(p1.00);8648@251(p1.00)
Chad,13.5,15.25,Chad_lat13p50_lon15p25,1000.0,1132.2,91.2,1.0,1.0,True,high,13.2,20,41@91(p0.18);223@91(p0.19);281@91(p0.23);398@91(p0.19);474@91(p0.16);633@91(p0.37);711@91(p0.33);1132@91(p1.00);1348@91(p0.46);1514@91(p0.40);1802@91(p0.39);2273@91(p0.80);2553@91(p0.99);3040@91(p1.00);3414@91(p1.00);4064@91(p1.00);4565@91(p1.00);5434@91(p1.00);6855@91(p1.00);9166@91(p1.00)
Chad,13.5,15.5,Chad_lat13p50_lon15p50,800.0,846.8,158.8,0.738,0.741,True,high,5.8,20,187@91(p0.21);375@144(p0.25);474@139(p0.30);532@91(p0.31);633@91(p0.20);711@91(p0.46);847@159(p0.74);951@91(p0.38);1132@91(p0.72);1348@91(p1.00);1802@91(p0.60);2273@91(p0.90);2706@91(p0.95);3040@91(p1.00);3414@91(p1.00);4064@91(p1.00);4565@91(p1.00);5434@91(p1.00);6855@91(p1.00);9166@91(p1.00)
Chad,13.5,15.75,Chad_lat13p50_lon15p75,900.0,846.8,91.2,1.0,1.0,True,high,5.9,21,198@91(p0.16);236@91(p0.23);281@91(p0.22);354@91(p0.21);422@91(p0.30);474@91(p0.38);711@91(p0.46);847@91(p1.00);1008@91(p0.30);1132@91(p0.27);1428@91(p0.64);1700@91(p0.18);2024@91(p0.99);2706@91(p1.00);3040@91(p1.00);3414@91(p1.00);4064@91(p1.00);4565@91(p1.00);5434@91(p1.00);6855@91(p1.00);9166@91(p1.00)
Chad,13.5,16.25,Chad_lat13p50_lon16p25,800.0,846.8,128.8,0.317,0.584,True,high,5.8,22,198@156(p0.20);223@91(p0.33);265@91(p0.25);298@136(p0.43);375@91(p0.26);564@91(p0.66);633@91(p0.49);711@91(p0.27);847@129(p0.32);1008@91(p0.41);1132@91(p1.00);1428@91(p0.19);1802@91(p0.66);2024@91(p0.97);2706@91(p1.00);3040@91(p1.00);3414@91(p1.00);4064@91(p1.00);4565@91(p1.00);5434@91(p1.00);6855@91(p1.00);9166@91(p1.00)
Chad,13.75,14.25,Chad_lat13p75_lon14p25,1400.0,1347.7,263.8,0.24,0.626,True,high,3.7,14,422@119(p0.43);474@129(p0.16);598@149(p0.45);711@134(p0.21);847@186(p0.58);1132@121(p0.96);1348@264(p0.24);2868@161(p0.53);3221@159(p0.80);3835@164(p0.67);4838@239(p1.00);5434@101(p1.00);6103@154(p1.00);7700@146(p1.00)
Chad,13.75,14.5,Chad_lat13p75_lon14p50,1600.0,1700.3,266.2,0.33,0.285,True,high,6.3,17,315@231(p0.20);398@181(p0.28);598@204(p0.77);754@211(p0.53);847@216(p0.33);1272@246(p0.99);1700@266(p0.33);1910@171(p0.31);2409@244(p0.72);2706@156(p0.17);3221@201(p0.98);3835@224(p0.49);4307@219(p0.98);5127@249(p1.00);6103@244(p1.00);7700@146(p1.00);8648@199(p1.00)
Chad,13.75,14.75,Chad_lat13p75_lon14p75,1300.0,1199.9,248.8,0.334,0.543,True,high,7.7,18,93@246(p0.17);105@239(p0.18);250@236(p0.43);375@246(p0.15);474@104(p0.28);532@251(p0.53);671@256(p0.31);799@236(p0.77);1008@236(p0.64);1200@249(p0.33);1514@246(p0.39);2145@236(p0.99);3414@239(p0.61);3835@236(p0.70);4838@136(p1.00);5434@91(p1.00);6103@154(p1.00);7700@146(p1.00)
Chad,13.75,15.0,Chad_lat13p75_lon15p00,1500.0,1428.4,243.8,0.721,0.743,True,high,4.8,21,148@221(p0.16);210@236(p0.19);422@244(p0.41);532@244(p0.20);633@104(p0.37);847@191(p0.19);951@236(p1.00);1200@181(p0.20);1428@244(p0.72);1604@181(p0.80);1802@229(p0.86);2024@234(p0.32);2409@249(p1.00);2706@181(p1.00);3040@181(p0.59);3414@229(p1.00);3835@236(p1.00);4565@181(p1.00);5434@191(p1.00);6855@181(p1.00);9166@181(p1.00)
Chad,13.75,15.25,Chad_lat13p75_lon15p25,800.0,846.8,148.8,0.202,0.505,True,high,5.8,16,265@144(p0.27);334@141(p0.30);422@136(p0.78);532@151(p0.32);598@161(p0.45);711@139(p0.67);847@149(p0.20);1514@141(p0.94);2273@229(p0.66);2706@96(p0.41);3414@256(p0.60);3835@214(p1.00);4565@181(p1.00);5434@216(p1.00);6468@194(p1.00);7700@214(p1.00)
Chad,13.75,15.5,Chad_lat13p75_lon15p50,1400.0,1513.8,233.8,0.658,0.486,True,high,8.1,20,41@194(p0.20);187@181(p0.21);298@181(p0.33);354@151(p0.17);447@176(p1.00);598@174(p0.44);711@154(p0.39);1068@131(p0.78);1200@176(p0.23);1514@234(p0.66);1802@186(p0.50);2273@156(p1.00);2706@234(p0.60);3040@229(p1.00);3414@151(p1.00);3835@196(p1.00);4565@211(p1.00);5434@101(p1.00);6855@104(p1.00);9166@181(p1.00)
Chad,13.75,15.75,Chad_lat13p75_lon15p75,1300.0,1199.9,193.8,0.674,0.856,True,high,7.7,19,41@181(p0.28);281@184(p0.31);354@166(p0.26);447@176(p1.00);564@171(p0.20);711@126(p0.28);847@174(p0.43);1068@149(p0.25);1200@194(p0.67);1604@266(p0.68);1802@166(p0.18);2409@169(p0.92);2706@216(p0.97);3414@121(p0.38);3835@236(p1.00);4565@171(p1.00);5434@216(p1.00);6855@104(p1.00);9166@91(p1.00)
Chad,13.75,16.0,Chad_lat13p75_lon16p00,2000.0,1909.8,181.2,0.69,0.426,True,high,4.5,18,41@181(p0.25);265@184(p0.20);354@136(p0.20);447@159(p0.41);633@176(p0.38);754@156(p0.21);951@181(p1.00);1200@181(p0.57);1428@181(p0.45);1910@181(p0.69);2706@181(p1.00);3040@181(p1.00);3414@181(p1.00);3835@181(p1.00);4565@181(p1.00);5434@181(p1.00);6855@181(p1.00);9166@181(p1.00)
Chad,13.75,16.25,Chad_lat13p75_lon16p25,2100.0,2024.0,133.8,0.563,0.13,True,high,3.6,20,41@174(p0.20);198@96(p0.28);223@99(p0.19);265@134(p0.17);334@119(p0.19);474@259(p0.44);671@91(p0.62);847@96(p1.00);1132@91(p0.36);1348@116(p0.89);1604@96(p0.52);2024@134(p0.56);2553@249(p1.00);3040@229(p1.00);3414@121(p1.00);4064@206(p1.00);4565@189(p1.00);5434@231(p1.00);6855@104(p1.00);9166@91(p1.00)
Chad,13.75,16.75,Chad_lat13p75_lon16p75,1400.0,1428.4,163.8,0.478,0.643,True,high,2.0,17,41@184(p0.27);176@189(p0.24);315@194(p0.23);375@164(p0.70);564@159(p0.32);671@171(p0.46);951@196(p0.47);1428@164(p0.48);1910@169(p1.00);2409@174(p0.37);2868@161(p0.68);3221@146(p0.38);3835@146(p1.00);4307@141(p1.00);5127@159(p1.00);6468@136(p1.00);8648@161(p1.00)
Chad,14.0,15.25,Chad_lat14p00_lon15p25,1600.0,1604.3,163.8,1.0,1.0,True,high,0.3,14,236@156(p0.32);315@166(p0.20);398@174(p0.30);564@164(p0.65);847@161(p0.89);1068@141(p0.55);1348@151(p0.21);1604@164(p1.00);2273@246(p0.63);2706@186(p0.87);4307@251(p1.00);5127@249(p1.00);6468@166(p1.00);8648@199(p1.00)
Chad,14.0,15.5,Chad_lat14p00_lon15p50,2200.0,2273.3,266.2,0.667,0.403,True,high,3.3,19,41@176(p0.30);132@231(p0.16);210@176(p0.27);265@234(p0.19);298@159(p0.18);447@229(p0.35);633@101(p0.37);951@246(p0.51);1348@94(p1.00);1604@96(p0.16);2273@266(p0.67);2706@264(p0.48);3040@264(p1.00);3414@264(p1.00);4064@91(p1.00);4565@261(p1.00);5434@259(p1.00);6855@256(p1.00);9166@91(p1.00)
Chad,14.0,15.75,Chad_lat14p00_lon15p75,2000.0,1909.8,168.8,0.453,0.139,True,high,4.5,21,41@181(p0.25);236@186(p0.19);354@174(p1.00);398@159(p0.16);474@159(p0.23);633@181(p0.53);754@211(p0.35);897@141(p0.25);1008@174(p0.27);1200@194(p0.26);1604@181(p0.69);1910@169(p0.45);2409@254(p0.64);2706@156(p1.00);3040@229(p0.76);3414@239(p1.00);3835@224(p1.00);4565@99(p1.00);5434@181(p1.00);6855@181(p1.00);9166@181(p1.00)
Chad,14.0,16.0,Chad_lat14p00_lon16p00,2000.0,1909.8,181.2,0.651,0.426,True,high,4.5,20,41@181(p0.27);334@181(p0.35);375@199(p0.21);502@181(p0.74);564@181(p0.26);847@164(p0.22);1068@181(p0.57);1200@181(p0.27);1348@181(p1.00);1514@181(p0.77);1910@181(p0.65);2409@181(p0.80);2706@181(p1.00);3040@181(p0.92);3414@181(p1.00);3835@181(p1.00);4565@181(p1.00);5434@181(p1.00);6855@181(p1.00);9166@181(p1.00)
Chad,14.0,16.25,Chad_lat14p00_lon16p25,1700.0,1604.3,188.8,0.701,0.306,True,high,5.6,19,41@181(p0.27);298@171(p0.28);354@186(p0.21);422@186(p0.23);564@176(p0.64);951@171(p1.00);1068@181(p0.21);1200@181(p0.36);1604@189(p0.70);1802@131(p0.47);2273@114(p0.85);2706@129(p1.00);3040@131(p0.90);3414@174(p1.00);3835@146(p1.00);4565@171(p1.00);5434@181(p1.00);6855@181(p1.00);9166@91(p1.00)
Chad,14.25,14.5,Chad_lat14p25_lon14p50,1000.0,1068.3,128.8,1.0,1.0,True,high,6.8,17,111@231(p0.42);223@239(p0.24);334@251(p0.16);754@246(p0.44);897@249(p0.35);1068@129(p1.00);1348@226(p0.45);1700@231(p0.46);2024@111(p0.62);2409@106(p0.36);3414@104(p0.33);3835@224(p0.95);4838@224(p1.00);6103@206(p1.00);6855@181(p1.00);7700@236(p1.00);8648@109(p1.00)
Chad,14.25,14.75,Chad_lat14p25_lon14p75,400.0,421.7,243.8,0.237,0.472,True,high,5.4,19,88@246(p0.21);148@241(p0.51);187@241(p0.17);281@251(p0.36);354@239(p0.36);422@244(p0.24);598@224(p0.64);711@244(p0.27);799@254(p0.29);1008@244(p0.88);1428@244(p1.00);1910@244(p0.63);2409@244(p0.62);2868@246(p0.75);3835@224(p0.61);4838@224(p1.00);6103@244(p1.00);7700@146(p1.00);8648@161(p1.00)
Chad,14.25,15.25,Chad_lat14p25_lon15p25,2400.0,2145.0,151.2,0.83,0.284,True,high,10.6,17,176@161(p0.16);265@159(p0.31);398@159(p0.53);474@161(p0.57);598@161(p0.64);799@156(p0.80);1200@156(p1.00);1514@199(p0.43);1910@191(p0.16);2145@151(p0.83);3221@234(p0.58);3618@156(p0.90);4307@161(p0.99);5127@249(p1.00);6468@224(p1.00);7700@236(p1.00);8648@199(p1.00)
